superfamily,family,genus,species,species_name,species_tree,malar,active_mode
Acrochordoidea,Acrochordidae,Acrochordus,arafurae,Acrochordus arafurae ,Acrochordus_arafurae,Yes,diurnal
Acrochordoidea,Acrochordidae,Acrochordus,granulatus,Acrochordus granulatus,Acrochordus_granulatus,Yes,diurnal
Uropeltoidea,Anomochilidae,Acrochordus,javanicus,Acrochordus javanicus,Acrochordus_javanicus,Yes,diurnal
Uropeltoidea,Anomochilidae,Anomochilus,leonardi,Anomochilus leonardi,Anomochilus_leonardi,No,underground
Uropeltoidea,Anomochilidae,Anomochilus,monticola,Anomochilus monticola ,Anomochilus_monticola,No,underground
Uropeltoidea,Anomochilidae,Anomochilus,weberi,Anomochilus weberi ,Anomochilus_weberi,No,underground
Uropeltoidea,Cylindrophiidae,Cylindrophis,aruensis,Cylindrophis aruensis,Cylindrophis_aruensis,No,underground
Uropeltoidea,Cylindrophiidae,Cylindrophis,boulengeri,Cylindrophis boulengeri,Cylindrophis_boulengeri,No,underground
Uropeltoidea,Cylindrophiidae,Cylindrophis,burmanus,Cylindrophis burmanus ,Cylindrophis_burmanus,No,underground
Uropeltoidea,Cylindrophiidae,Cylindrophis,engkariensis,Cylindrophis engkariensis ,Cylindrophis_engkariensis,No,underground
Uropeltoidea,Cylindrophiidae,Cylindrophis,isolepis,Cylindrophis isolepis,Cylindrophis_isolepis,No,underground
Uropeltoidea,Cylindrophiidae,Cylindrophis,jodiae,Cylindrophis jodiae ,Cylindrophis_jodiae,No,underground
Uropeltoidea,Cylindrophiidae,Cylindrophis,lineatus,Cylindrophis lineatus,Cylindrophis_lineatus,No,underground
Uropeltoidea,Cylindrophiidae,Cylindrophis,maculatus,Cylindrophis maculatus,Cylindrophis_maculatus,No,underground
Uropeltoidea,Cylindrophiidae,Cylindrophis,melanotus,Cylindrophis melanotus,Cylindrophis_melanotus,No,underground
Uropeltoidea,Cylindrophiidae,Cylindrophis,opisthorhodus,Cylindrophis opisthorhodus,Cylindrophis_opisthorhodus,No,underground
Uropeltoidea,Cylindrophiidae,Cylindrophis,osheai,Cylindrophis osheai,Cylindrophis_osheai,No,underground
Uropeltoidea,Cylindrophiidae,Cylindrophis,ruffus,Cylindrophis ruffus,Cylindrophis_ruffus,No,underground
Uropeltoidea,Cylindrophiidae,Cylindrophis,subocularis,Cylindrophis subocularis,Cylindrophis_subocularis,No,underground
Uropeltoidea,Cylindrophiidae,Cylindrophis,yamdena,Cylindrophis yamdena,Cylindrophis_yamdena,No,underground
Uropeltoidea,Uropeltidae,Melanophidium,bilineatum,Melanophidium bilineatum,Melanophidium_bilineatum,No,nocturnal
Uropeltoidea,Uropeltidae,Melanophidium,khairei,Melanophidium khairei ,Melanophidium_khairei,No,nocturnal
Uropeltoidea,Uropeltidae,Melanophidium,punctatum,Melanophidium punctatum,Melanophidium_punctatum,No,nocturnal
Uropeltoidea,Uropeltidae,Melanophidium,wynaudense,Melanophidium wynaudense,Melanophidium_wynaudense,No,nocturnal
Uropeltoidea,Uropeltidae,Platyplectrurus,madurensis,Platyplectrurus madurensis,Platyplectrurus_madurensis,No,nocturnal
Uropeltoidea,Uropeltidae,Platyplectrurus,trilineatus,Platyplectrurus trilineatus,Platyplectrurus_trilineatus,No,nocturnal
Uropeltoidea,Uropeltidae,Plectrurus,aureus,Plectrurus aureus,Plectrurus_aureus,No,nocturnal
Uropeltoidea,Uropeltidae,Plectrurus,guentheri,Plectrurus guentheri ,Plectrurus_guentheri,No,nocturnal
Uropeltoidea,Uropeltidae,Plectrurus,perroteti,Plectrurus perroteti ,Plectrurus_perroteti,No,nocturnal
Uropeltoidea,Uropeltidae,Pseudoplectrurus,canaricus,Pseudoplectrurus canaricus,Plectrurus_canaricus,No,nocturnal
Uropeltoidea,Uropeltidae,Rhinophis,blythii,Rhinophis blythii,Rhinophis_blythii,No,nocturnal
Uropeltoidea,Uropeltidae,Rhinophis,dorsimaculatus,Rhinophis dorsimaculatus,Rhinophis_dorsimaculatus,No,nocturnal
Uropeltoidea,Uropeltidae,Rhinophis,drummondhayi,Rhinophis drummondhayi ,Rhinophis_drummondhayi,No,nocturnal
Uropeltoidea,Uropeltidae,Rhinophis,erangaviraji,Rhinophis erangaviraji,Rhinophis_erangaviraji,No,nocturnal
Uropeltoidea,Uropeltidae,Rhinophis,fergusonianus,Rhinophis fergusonianus,Rhinophis_fergusonianus,No,nocturnal
Uropeltoidea,Uropeltidae,Rhinophis,goweri,Rhinophis goweri ,Rhinophis_goweri,No,nocturnal
Uropeltoidea,Uropeltidae,Rhinophis,homolepis,Rhinophis homolepis,Rhinophis_homolepis,No,nocturnal
Uropeltoidea,Uropeltidae,Rhinophis,melanogaster,Rhinophis melanogaster,Uropeltis_melanogaster,No,nocturnal
Uropeltoidea,Uropeltidae,Rhinophis,oxyrhynchus,Rhinophis oxyrhynchus,Rhinophis_oxyrhynchus,No,nocturnal
Uropeltoidea,Uropeltidae,Rhinophis,philippinus,Rhinophis philippinus,Rhinophis_philippinus,No,nocturnal
Uropeltoidea,Uropeltidae,Rhinophis,phillipsi,Rhinophis phillipsi,Uropeltis_phillipsi,No,nocturnal
Uropeltoidea,Uropeltidae,Rhinophis,porrectus,Rhinophis porrectus,Rhinophis_porrectus,No,nocturnal
Uropeltoidea,Uropeltidae,Rhinophis,roshanpererai,Rhinophis roshanpererai,Rhinophis_roshanpererai,No,nocturnal
Uropeltoidea,Uropeltidae,Rhinophis,saffragamus,Rhinophis saffragamus,Rhinophis_saffragamus,No,nocturnal
Uropeltoidea,Uropeltidae,Rhinophis,sanguineus,Rhinophis sanguineus,Rhinophis_sanguineus,No,nocturnal
Uropeltoidea,Uropeltidae,Rhinophis,zigzag,Rhinophis zigzag,Rhinophis_zigzag,No,nocturnal
Uropeltoidea,Uropeltidae,Teretrurus,rhodogaster,Teretrurus rhodogaster,Brachyophidium_rhodogaster,No,nocturnal
Uropeltoidea,Uropeltidae,Teretrurus,sanguineus,Teretrurus sanguineus,Teretrurus_sanguineus,No,nocturnal
Uropeltoidea,Uropeltidae,Uropeltis,arcticeps,Uropeltis arcticeps,Uropeltis_arcticeps,No,nocturnal
Uropeltoidea,Uropeltidae,Uropeltis,bhupathyi,Uropeltis bhupathyi,Uropeltis_bhupathyi,No,nocturnal
Uropeltoidea,Uropeltidae,Uropeltis,bicatenata,Uropeltis bicatenata,Uropeltis_bicatenata,No,nocturnal
Uropeltoidea,Uropeltidae,Uropeltis,ceylanicus,Uropeltis ceylanicus,Uropeltis_ceylanicus,No,nocturnal
Uropeltoidea,Uropeltidae,Uropeltis,dindigalensis,Uropeltis dindigalensis ,Uropeltis_dindigalensis,No,nocturnal
Uropeltoidea,Uropeltidae,Uropeltis,ellioti,Uropeltis ellioti,Uropeltis_ellioti,No,nocturnal
Uropeltoidea,Uropeltidae,Uropeltis,grandis,Uropeltis grandis,Uropeltis_grandis,No,nocturnal
Uropeltoidea,Uropeltidae,Uropeltis,liura,Uropeltis liura,Uropeltis_liura,No,nocturnal
Uropeltoidea,Uropeltidae,Uropeltis,macrolepis,Uropeltis macrolepis,Uropeltis_macrolepis,No,nocturnal
Uropeltoidea,Uropeltidae,Uropeltis,macrorhyncha,Uropeltis macrorhyncha,Uropeltis_macrorhyncha,No,nocturnal
Uropeltoidea,Uropeltidae,Uropeltis,maculata,Uropeltis maculata,Uropeltis_maculata,No,nocturnal
Uropeltoidea,Uropeltidae,Uropeltis,madurensis,Uropeltis madurensis,Uropeltis_madurensis,No,nocturnal
Uropeltoidea,Uropeltidae,Uropeltis,myhendrae,Uropeltis myhendrae,Uropeltis_myhendrae,No,nocturnal
Uropeltoidea,Uropeltidae,Uropeltis,nitida,Uropeltis nitida,Uropeltis_nitida,No,nocturnal
Uropeltoidea,Uropeltidae,Uropeltis,ocellatus,Uropeltis ocellatus,Uropeltis_ocellata,No,nocturnal
Uropeltoidea,Uropeltidae,Uropeltis,petersi,Uropeltis petersi,Uropeltis_petersi,No,nocturnal
Uropeltoidea,Uropeltidae,Uropeltis,phipsonii,Uropeltis phipsonii,Uropeltis_phipsonii,No,nocturnal
Uropeltoidea,Uropeltidae,Uropeltis,pulneyensis,Uropeltis pulneyensis,Uropeltis_pulneyensis,No,nocturnal
Uropeltoidea,Uropeltidae,Uropeltis,rajendrani,Uropeltis rajendrani,Uropeltis_rajendrani,No,nocturnal
Uropeltoidea,Uropeltidae,Uropeltis,rubrolineata,Uropeltis rubrolineata ,Uropeltis_rubrolineata,No,nocturnal
Uropeltoidea,Uropeltidae,Uropeltis,rubromaculata,Uropeltis rubromaculata,Uropeltis_rubromaculatus,No,nocturnal
Uropeltoidea,Uropeltidae,Uropeltis,shorttii,Uropeltis shorttii,Uropeltis_shorttii,No,nocturnal
Uropeltoidea,Uropeltidae,Uropeltis,woodmasoni,Uropeltis woodmasoni,Uropeltis_woodmasoni,No,nocturnal
Pythonoidea,Loxocemidae,Loxocemus,bicolor,Loxocemus bicolor,Loxocemus_bicolor,No,nocturnal
Pythonoidea,Pythonidae,Antaresia,childreni,Antaresia childreni,Antaresia_childreni,Yes,both
Pythonoidea,Pythonidae,Antaresia,maculosa,Antaresia maculosa,Antaresia_maculosa,Yes,both
Pythonoidea,Pythonidae,Antaresia,perthensis,Antaresia perthensis ,Antaresia_perthensis,Yes,both
Pythonoidea,Pythonidae,Antaresia,stimsoni,Antaresia stimsoni,Antaresia_stimsoni,Yes,both
Pythonoidea,Pythonidae,Aspidites,melanocephalus,Aspidites melanocephalus,Aspidites_melanocephalus,No,both
Pythonoidea,Pythonidae,Aspidites,ramsayi,Aspidites ramsayi,Aspidites_ramsayi,No,both
Pythonoidea,Pythonidae,Bothrochilus,albertisii,Bothrochilus albertisii,Bothrochilus_albertisii,No,both
Pythonoidea,Pythonidae,Bothrochilus,biakensis,Bothrochilus biakensis,Bothrochilus_biakensis,No,both
Pythonoidea,Pythonidae,Bothrochilus,boa,Bothrochilus boa ,Bothrochilus_boa,No,both
Pythonoidea,Pythonidae,Bothrochilus,huonensis,Bothrochilus huonensis,Bothrochilus_huonensis,No,both
Pythonoidea,Pythonidae,Bothrochilus,meridionalis,Bothrochilus meridionalis,Leiopython_meridionalis,No,both
Pythonoidea,Pythonidae,Liasis,fuscus,Liasis fuscus ,Liasis_fuscus,No,both
Pythonoidea,Pythonidae,Liasis,mackloti,Liasis mackloti ,Liasis_mackloti,No,both
Pythonoidea,Pythonidae,Liasis,olivaceus,Liasis olivaceus,Liasis_olivaceus,No,both
Pythonoidea,Pythonidae,Liasis,papuanus,Liasis papuanus,Liasis_papuana,No,both
Pythonoidea,Pythonidae,Malayopython,reticulatus,Malayopython reticulatus,Malayopython_reticulatus,Yes,both
Pythonoidea,Pythonidae,Malayopython,timoriensis,Malayopython timoriensis,Malayopython_timoriensis,No,both
Pythonoidea,Pythonidae,Morelia,azurea,Morelia azurea,Morelia_azurea,No,nocturnal
Pythonoidea,Pythonidae,Morelia,bredli,Morelia bredli,Morelia_bredli,Yes,both
Pythonoidea,Pythonidae,Morelia,carinata,Morelia carinata,Morelia_carinata,Yes,both
Pythonoidea,Pythonidae,Morelia,spilota,Morelia spilota,Morelia_spilota,Yes,both
